"CVE_ID","SW_NAME","VENDOR","AFFECTED_RANGE","FIXED_VERSION","SEVERITY","CVSS_SCORE","CVSS_VECTOR","PUBLISHED_DATE","MODIFIED_DATE","KEV_YN","SUMMARY","REFERENCE_URL","SOURCE","ECOSYSTEM","COLLECTED_AT"
"CVE-2026-90553","vLLM","vLLM Project","<0.28.0","","HIGH","7.8","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","20260912","20260912","N","vLLM before 0.28.0 contains a remote code execution vulnerability in the LlavaOnevision2 processor loader that ignores the trust_remote_code parameter when loading remote processor classes. Attackers can craft a malicious model with arbitrary code in processing_llava_onevision2.py that executes with vLLM process authority even when trust_remote_code is set to False.","https://github.com/vllm-project/vllm/security/advisories/GHSA-3c86-2m5g-59q7","NVD","pypi","20260912224343"
"CVE-2026-73415","JupyterLab","Project Jupyter",">=4.6.0,<4.6.2|<4.5.10","4.6.2","HIGH","","CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:H/VI:H/VA:L/SC:N/SI:N/SA:N","20260722","20260910","N","JupyterLab의 이미지 뷰어는 특별히 제작된 이미지 파일을 이미지 뷰어를 통해 연 다음 새 탭에서 열 때 XSS(교차 사이트 스크립팅)를 허용합니다. 이 XSS 문제는 JupyterLab 서버에서 원격 코드 실행(RCE)을 유발하는 데 사용될 수 있습니다. ### 영향 이 취약점으로 인해 임의 코드 실행이 허용됩니다. ### 패치 JupyterLab [`v4.6.2`](https://github.com/jupyterlab/jupyterlab/releases/tag/v4.6.2) 및 [`v4.5.10`](https://github.com/jupyterlab/jupyterlab/releases/tag/v4.5.10)에는 패치가 포함되어 있습니다. ### 해결 방법 이미지 뷰어 플러그인을 비활성화합니다. ``` jupyter labextension 비활성화 @jupyterlab/imageviewer-extension:plugin ``` 확인: ``` jupyter labextension list ```","https://github.com/jupyterlab/jupyterlab/security/advisories/GHSA-gx64-gj6p-pc4c","OSV","pypi","20260912224310"
"CVE-2026-86081","n8n","n8n GmbH","<1.123.76|>=2.38.0,<2.38.2|>=2.0.0,<2.37.7","1.123.76","HIGH","","CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N","20260910","20260910","N","n8n: Regular Expression Denial of Service in the Default Blocked-File-Pattern Match via a Git Node Clone Path ## Impact The Git node's clone operation matched the destination path against the default `N8N_BLOCK_FILE_PATTERNS` expression, which was written so that a crafted path caused catastrophic backtracking. Evaluation runs synchronously in the main n8n process, so an authenticated user could freeze the instance for everyone with a single workflow execution and no unusual configuration. The patch rewrites the pattern so that matching is linear in the length of the path. ## Patches The issue has been fixed in n8n versions 1.123.76, 2.37.7, and 2.38.2. Users should upgrade to one of these versions or later to remediate the vulnerability. ## Workarounds If upgrading is not immediately possible, administrators should consider the following temporary mitigations: - Restrict n8n instance access to fully trusted users only. - Disable the Git node by adding `n8n-nodes-base.git` to the `NODE","https://github.com/advisories/GHSA-j535-v25q-vx3q","OSV+GHSA","npm","20260912224430"
"CVE-2026-73559","vLLM","vLLM Project",">=0.19.0,<0.26.0","0.26.0","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","20260813","20260910","N","## 요약 `/v1/completions` 요청 모델은 `프롬프트`를 외부 프롬프트 수 제한 없이 텍스트 프롬프트 목록 또는 토큰 ID 프롬프트 목록으로 허용합니다. 제공 경로는 각 요소를 별도의 엔진 입력으로 바꾸고, 요소당 하나의 엔진 생성기를 생성하고, 모든 생성기를 병합하고, 프롬프트당 응답 슬롯을 할당합니다. 따라서 인증된 API 클라이언트는 총 요청 수 예산이 시행되기 전에 하나의 요청을 공격자가 선택한 수의 백엔드 하위 요청으로 바꿀 수 있습니다. ## 기술 세부 사항 `CompletionRequest.prompt`는 목록 모양의 프롬프트 입력과 스칼라 프롬프트를 모두 허용합니다: ```python # vllm/entrypoints/openai/completion/protocol.py 프롬프트: ( list[Annotated[int, Field(ge=0)]] | list[list[Annotated[int, Field(ge=0)]]] | str | list[str] | None ) = None ``` 유효성 검사기는 일부만 필요합니다. 프롬프트와 같은 입력이 있어야 함: ```python def verify_prompt_and_prompt_embeds(cls, data): 프롬프트 = data.get(""prompt"") 프롬프트_embeds = data.get(""prompt_embeds"") ... if 프롬프트_is","https://nvd.nist.gov/vuln/detail/CVE-2026-73559","OSV","pypi","20260912224310"
"CVE-2026-90555","vLLM","vLLM Project","<0.28.0","","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","20260912","20260912","N","vLLM versions before 0.28.0 fail to validate audio sample rate headers in the transcription endpoint, allowing authenticated clients to bypass duration checks. Attackers can submit forged FLAC headers with inflated sample rates to trigger excessive memory allocation and crash the API server process affecting all tenants.","https://github.com/vllm-project/vllm/security/advisories/GHSA-99f2-hwrc-gvq8","NVD","pypi","20260912224343"
"CVE-2026-90554","vLLM","vLLM Project","*","","MEDIUM","6.2","CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","20260912","20260912","N","[버전범위 불명확] vLLM versions >=0.10.2 and <0.28.0 do not apply any audio decode-size or duration limit when extracting audio from video input for NanoNemotronVL models. In nano_nemotron_vl.py, _extract_audio_from_videos calls load_audio_pyav(BytesIO(video_bytes)) without the max_duration_s or max_decode_bytes parameters, so neither VLLM_MAX_AUDIO_DECODE_DURATION_S nor VLLM_MAX_AUDIO_DECODE_BYTES is enforced (unlike the direct audio upload path in AudioMediaIO). When a NanoNemotronVL model is served with use_audio_in_video=True, an attacker who supplies a small, highly compressed video as multimodal input can force the server to allocate gigabytes of memory during audio decoding, resulting in a denial of service. Fixed in vLLM 0.28.0.","https://github.com/vllm-project/vllm/security/advisories/GHSA-936p-m5pv-vvjf","NVD","pypi","20260912224343"
"CVE-2026-73555","vLLM","vLLM Project","<0.26.0","0.26.0","MEDIUM","5.3","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N","20260904","20260910","N","## Summary When the vLLM API receives a malformed request (e.g., invalid JSON or missing required fields), FastAPI raises a Pydantic `RequestValidationError`. The `validation_exception_handler` in `vllm/entrypoints/openai/server_utils.py` converts this exception to a string via `str(exc)`, which includes the internal file path and line number of the handler function. The existing `sanitize_message()` function in `vllm/entrypoints/utils.py` strips memory addresses (e.g., `0x7f...`) but does not strip `File ""..."", line X` patterns. The result is a user-facing HTTP response that leaks internal system information. ## Impact An unauthenticated attacker can extract the following with a single malformed request: - **OS username** running the vLLM process (e.g., `ubuntu`) - **Home directory path** (e.g., `/home/ubuntu/`) - **Virtual environment path** (e.g., `vllm-env/`) - **Python version** (e.g., `3.12`) - **Internal package structure and line numbers** (e.g., `vllm/entrypoints/openai/chat_c","https://nvd.nist.gov/vuln/detail/CVE-2026-73555","OSV","pypi","20260912224310"
"CVE-2026-73556","vLLM","vLLM Project","<0.26.0","0.26.0","MEDIUM","5.3","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L","20260904","20260910","N","### Summary The fix for `GHSA-rwxx-mrjm-wc2m` (""ReDoS via `structured_outputs.regex` compiled without timeout"") wrapped the regex compile in the **xgrammar** and **outlines** backends with `compile_regex_with_timeout` (and, for outlines, `validate_regex_is_buildable`). The **lm-format-enforcer** backend was left unguarded: it compiles the attacker-supplied regex with no timeout and no buildability check. A single request with a catastrophic regex hangs the structured-output compile step and stalls the engine worker (denial of service). ### Affected code (HEAD d6d39c1) `vllm/v1/structured_output/backend_lm_format_enforcer.py`: - line 110: `character_level_parser = lmformatenforcer.RegexParser(grammar_spec)` — builds an `interegular` FSM from the attacker regex synchronously, **no timeout**. - line 155: `validate_structured_output_request_lm_format_enforcer` returns immediately on `if so_params.regex:` — **no validation**. Sibling backends that WERE patched by GHSA-rwxx: - `backend_xgram","https://nvd.nist.gov/vuln/detail/CVE-2026-73556","OSV","pypi","20260912224310"
"CVE-2026-73558","vLLM","vLLM Project","<0.27.0","0.27.0","MEDIUM","5.3","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N","20260908","20260910","N","### Summary An integer overflow in the act_and_mul_kernel kernel can cause the output of one user request to be incorporated into the response of another request within the same inference batch. Under certain conditions, the last request in a batch can receive a partial or complete copy of the first user's inference result, resulting in cross-user data leakage. ### Details The root cause is an integer overflow in the expression blockIdx.x * 2 * d at https://github.com/vllm-project/vllm/blob/ff712f6447093d07747c88680b9d006b119f5890/csrc/activation_kernels.cu#L82. As a result, the computation for one user (User A) can incorrectly consume input data from another user (User B). In particular, when 2^32 is divisible by d, the overflow can cause User A's output to contain portions of User B's inference result. In some cases, User B's response may be copied entirely into User A's response. This constitutes a severe cross-user information disclosure vulnerability and is straightforward to trig","https://nvd.nist.gov/vuln/detail/CVE-2026-73558","OSV","pypi","20260912224310"
"CVE-2026-71486","vLLM","vLLM Project","<0.26.0","0.26.0","MEDIUM","4.3","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L","20260904","20260910","N","## Summary The `/v1/completions/derender` and `/v1/chat/completions/derender` endpoints accept caller-supplied `GenerateResponse` objects and postprocess every nested `choices[*].token_ids` list directly. Unlike the normal render/generate path, derender does not enforce model context length, resolved `max_tokens`, `max_num_seqs`, choice-count, or response-size bounds before detokenizing and returning the supplied token IDs. An authenticated API client can therefore make the CPU-only render frontend, or any server exposing these `/v1` derender routes, spend CPU and memory proportional to attacker-chosen generated-output-shaped JSON rather than to a bounded generation result. ## Technical Details The render router registers `/v1/chat/completions/derender` and `/v1/completions/derender` in `vllm/entrypoints/serve/render/api_router.py`, and the OpenAI API server attaches this router whenever `""generate""` or `""render""` is in `supported_tasks` (`vllm/entrypoints/openai/api_server.py`). The r","https://nvd.nist.gov/vuln/detail/CVE-2026-71486","OSV","pypi","20260912224310"
